team_no	utterance_no	start	end	interlocutor	utterance
7	0	40.000	42.141	I	that is to record your voice
7	1	42.525	43.004	A	okay .
7	2	47.732	48.615	A	i am doing this .
7	3	50.372	51.540	A	can i see him playing ?
7	4	52.079	54.326	B	i do not understand how , it is not working .
7	5	55.779	56.737	R	i see .
7	6	59.404	60.437	B	oh , okay .
7	7	63.538	65.994	A	i do not understand .
7	8	66.204	67.132	B	i understand .
7	9	68.403	69.661	B	what do i do now ?
7	10	71.714	72.864	A	bob ?
7	11	73.092	73.657	B	yeah ?
7	12	85.498	86.802	A	okay .
7	13	91.377	93.268	B	do you see what i am doing , or not ?
7	14	92.936	93.728	A	yeah i do .
7	15	94.264	95.491	A	then you see what i did ?
7	16	95.465	96.718	B	i can't see yours .
7	17	98.896	101.532	B	sometimes my screen turns like gray .
7	18	103.210	104.198	B	oh , there you go .
7	19	103.240	104.558	A	okay .
7	20	109.650	111.148	B	i don't want the eraser .
7	21	116.339	119.005	B	oh my god , this is so weird .
7	22	117.477	118.226	A	okay .
7	23	126.584	132.545	A	why does it always show me like it is so annoying .
7	24	130.658	132.935	B	why does it turn gray sometimes ?
7	25	136.032	141.394	I	you can check the information check the information button on your screens read that
7	26	143.834	148.897	R	guys do not hesitate to submit your solutions
7	27	149.872	153.347	A	do you want to submit oh no , one sec .
7	28	152.898	157.661	B	no no no , don't don't submit .
7	29	155.234	156.434	A	let let's not submit.
7	30	156.710	158.260	A	no , don't submit .
7	31	160.926	161.586	R	i see .
7	32	164.939	166.497	B	okay um
7	33	165.250	166.013	A	it's
7	34	174.723	176.790	A	no i can't have it , not yet .
7	35	176.910	177.539	B	what ?
7	36	177.779	179.457	A	let's not do it , yet .
7	37	180.056	180.865	B	i think
7	38	181.224	183.351	B	do we need to connect it , to all places ?
7	39	183.021	184.669	A	we need to connect everything .
7	40	184.939	186.646	B	even to like the big buildings ?
7	41	187.425	190.750	A	no , you can't connect to the big buildings .
7	42	187.515	188.264	B	like the
7	43	189.822	193.866	B	oh we need to connect yeah we need to connect everything okay yeah i understand .
