team_no	attempt_no	turn_no	event_no	time	subject	verb	object
12	1	1	1	0.064	R	shows	observe gesture
12	1	1	2	0.244	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!
12	1	1	3	53.542	R	shows	thinking gesture
12	1	1	4	53.557	R	says	hmm, i see.
12	1	1	5	60.621	A	adds	Basel-Zurich (0-2)
12	1	1	6	94.364	A	adds	Basel-Bern (0-3)
12	1	2	7	98.553	R	shows	observe gesture
12	1	2	8	105.783	B	adds	Neuchatel-Bern (7-3)
12	1	2	9	112.525	B	adds	Interlaken-Neuchatel (5-7)
12	1	3	10	127.748	A	adds	Interlaken-Montreux (5-6)
12	1	3	11	133.248	A	adds	Zermatt-Montreux (4-6)
12	1	4	12	138.681	B	adds	Luzern-Zermatt (1-4)
12	1	4	13	141.310	B	adds	Luzern-Davos (1-9)
12	1	5	14	145.970	A	adds	Gallen-Davos (8-9)
12	1	5	15	147.312	R	shows	observe gesture
12	1	5	16	158.252	A	adds	Zurich-Gallen (2-8)
12	1	6	17	158.562	R	shows	thinking gesture
12	1	6	18	158.576	R	says	hmm, i see.
12	1	6	19	162.681	A	presses	submit (enabled)
12	1	6	20	163.297	T	submits	cost=33 (opt_cost=22)
12	1	6	21	164.293	B	presses	submit (enabled)
12	1	6	22	164.548	R	shows	talking emotion
12	1	6	23	164.549	R	shows	up_left gesture
12	1	6	24	164.685	R	says	you are not that far from the minimum; the difference is only 11 francs. i am sure you can do it.
12	1	6	25	173.638	R	shows	talking emotion
12	1	6	26	173.638	R	shows	point_front gesture
12	1	6	27	173.688	R	says	by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
12	2	6	28	183.729	A	presses	help (enabled)
12	2	6	29	185.837	B	presses	help (enabled)
12	2	6	30	190.224	A	presses	compare (enabled)
12	2	6	31	198.689	A	presses	compare (enabled)
12	2	6	32	226.095	A	presses	compare (enabled)
12	2	6	33	240.207	B	adds	Luzern-Interlaken (1-5)
12	2	6	34	242.035	B	adds	Luzern-Zurich (1-2)
12	2	7	35	246.824	B	presses	compare (enabled)
12	2	7	36	264.640	A	adds	Zurich-Gallen (2-8)
12	2	7	37	270.853	A	adds	Gallen-Davos (8-9)
12	2	8	38	278.618	R	shows	observe gesture
12	2	8	39	304.374	B	adds	Luzern-Davos (1-9)
12	2	8	40	306.133	B	adds	Luzern-Bern (1-3)
12	2	9	41	330.861	A	adds	Basel-Bern (0-3)
12	2	9	42	350.374	A	adds	Basel-Neuchatel (0-7)
12	2	10	43	366.102	B	adds	Montreux-Neuchatel (6-7)
12	2	10	44	368.228	B	adds	Zermatt-Montreux (4-6)
12	2	11	45	375.125	A	adds	Zermatt-Interlaken (4-5)
12	2	11	46	377.821	A	adds	Interlaken-Bern (5-3)
12	2	12	47	382.943	B	adds	Zurich-Bern (2-3)
12	2	12	48	384.217	A	presses	submit (enabled)
12	2	12	49	384.296	T	submits	cost=37 (opt_cost=22)
12	2	12	50	384.906	B	presses	submit (enabled)
12	2	12	51	385.678	R	shows	talking emotion
12	2	12	52	385.680	R	shows	up_left gesture
12	2	12	53	385.765	R	says	you are not that far from the minimum; the difference is only 15 francs. i am sure you can do it.
12	2	12	54	392.689	A	presses	submit (enabled)
12	2	12	55	393.249	A	presses	submit (enabled)
12	2	12	56	393.659	A	presses	submit (enabled)
12	3	12	57	394.694	A	presses	submit (disabled)
12	3	12	58	394.746	A	presses	submit (disabled)
12	3	12	59	394.764	A	presses	submit (disabled)
12	3	12	60	397.269	A	presses	previous (enabled)
12	3	12	61	401.898	A	presses	compare (enabled)
12	3	12	62	446.057	B	adds	Basel-Zurich (0-2)
12	3	12	63	453.485	B	removes	Basel-Zurich (0-2)
12	3	13	64	482.053	A	adds	Zurich-Bern (2-3)
12	3	13	65	485.235	B	presses	previous (enabled)
12	3	13	66	490.867	A	adds	Basel-Bern (0-3)
