team_no	attempt_no	turn_no	event_no	time	subject	verb	object
34	1	1	1	0.134	R	shows	observe gesture
34	1	1	2	0.286	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!
34	1	1	3	40.002	A	presses	submit (disabled)
34	1	1	4	52.648	A	adds	Zermatt-Davos (4-9)
34	1	1	5	54.295	R	shows	thinking gesture
34	1	1	6	54.309	R	says	hmm, i see.
34	1	1	7	72.181	A	presses	help (enabled)
34	1	1	8	80.204	A	adds	Luzern-Davos (1-9)
34	1	2	9	85.099	A	presses	submit (disabled)
34	1	2	10	99.295	R	shows	observe gesture
34	1	2	11	99.809	B	removes	Luzern-Davos (1-9)
34	1	2	12	103.364	B	adds	Luzern-Zermatt (1-4)
34	1	3	13	149.296	A	removes	Zermatt-Davos (4-9)
34	1	3	14	150.813	A	removes	Luzern-Zermatt (1-4)
34	1	4	15	159.295	R	shows	thinking gesture
34	1	4	16	159.415	R	says	hmm, i see.
34	1	4	17	166.541	B	adds	Gallen-Davos (8-9)
34	1	4	18	180.749	B	adds	Zermatt-Davos (4-9)
34	1	5	19	199.744	A	adds	Luzern-Zermatt (1-4)
34	1	5	20	204.976	A	adds	Luzern-Zurich (1-2)
34	1	6	21	213.207	B	removes	Luzern-Zurich (1-2)
34	1	6	22	217.211	B	adds	Zurich-Gallen (2-8)
34	1	7	23	230.346	A	adds	Zurich-Bern (2-3)
34	1	7	24	235.724	A	adds	Basel-Bern (0-3)
34	1	8	25	242.441	B	adds	Basel-Neuchatel (0-7)
34	1	8	26	249.349	B	adds	Montreux-Neuchatel (6-7)
34	1	9	27	258.266	A	adds	Interlaken-Montreux (5-6)
34	1	9	28	258.544	R	shows	observe gesture
34	1	9	29	271.195	A	presses	submit (enabled)
34	1	9	30	271.276	T	submits	cost=27 (opt_cost=22)
34	1	9	31	271.493	R	shows	talking emotion
34	1	9	32	271.495	R	shows	up_left gesture
34	1	9	33	271.606	R	says	you are away from the minimum by 5 francs. let's try again.
34	1	9	34	271.835	B	presses	submit (enabled)
34	1	9	35	277.905	R	shows	point_front gesture
34	1	9	36	277.905	R	shows	talking emotion
34	1	9	37	278.014	R	says	by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
34	1	9	38	279.295	R	shows	observe gesture
34	2	9	39	307.499	B	presses	compare (enabled)
34	2	9	40	312.462	A	adds	Zermatt-Montreux (4-6)
34	2	9	41	314.703	A	adds	Zermatt-Davos (4-9)
34	2	10	42	315.271	B	presses	apply (enabled)
34	2	10	43	315.281	B	loads	[(0, 3), (0, 7), (1, 4), (2, 3), (2, 8), (4, 6), (4, 9), (5, 6), (6, 7), (8, 9)]
34	2	10	44	317.672	B	presses	apply (enabled)
34	2	10	45	317.682	B	loads	[(0, 3), (0, 7), (1, 4), (2, 3), (2, 8), (4, 9), (5, 6), (6, 7), (8, 9)]
34	2	10	46	321.092	B	presses	compare (enabled)
34	2	10	47	321.869	B	presses	compare (enabled)
34	2	10	48	324.878	B	presses	apply (enabled)
34	2	10	49	324.888	B	loads	[(0, 3), (0, 7), (1, 4), (2, 3), (2, 8), (4, 9), (5, 6), (6, 7), (8, 9)]
34	2	10	50	325.936	B	presses	compare (enabled)
34	2	10	51	325.958	A	presses	submit (enabled)
34	2	10	52	326.304	B	presses	compare (enabled)
34	2	10	53	329.129	B	presses	apply (enabled)
34	2	10	54	329.139	B	loads	[(0, 3), (0, 7), (1, 4), (2, 3), (2, 8), (4, 9), (5, 6), (6, 7), (8, 9)]
34	2	10	55	332.796	A	presses	submit (enabled)
34	2	10	56	334.547	T	submits	cost=27 (opt_cost=22)
34	2	10	57	334.765	R	shows	talking emotion
34	2	10	58	334.766	R	shows	up_left gesture
34	2	10	59	334.865	R	says	you are not that far from the minimum; the difference is only 5 francs. i am sure you can do it.
34	2	10	60	335.144	B	presses	submit (enabled)
34	3	10	61	360.693	A	adds	Zermatt-Davos (4-9)
34	3	10	62	367.969	A	adds	Gallen-Davos (8-9)
34	3	11	63	378.877	A	presses	compare (enabled)
