team_no	attempt_no	turn_no	event_no	time	subject	verb	object
17	1	1	1	0.311	R	shows	observe gesture
17	1	1	2	0.376	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!
17	1	1	3	45.060	A	adds	Luzern-Zermatt (1-4)
17	1	1	4	54.197	R	shows	thinking gesture
17	1	1	5	54.232	R	says	hmm, i see.
17	1	1	6	55.155	A	adds	Luzern-Bern (1-3)
17	1	2	7	75.966	B	adds	Zermatt-Davos (4-9)
17	1	2	8	92.752	B	adds	Gallen-Davos (8-9)
17	1	3	9	99.731	A	adds	Zurich-Gallen (2-8)
17	1	3	10	106.959	A	presses	help (enabled)
17	1	3	11	109.070	B	presses	help (enabled)
17	1	3	12	165.369	A	adds	Basel-Zurich (0-2)
17	1	4	13	174.683	B	adds	Basel-Neuchatel (0-7)
17	1	4	14	184.349	B	adds	Montreux-Neuchatel (6-7)
17	1	5	15	189.148	A	adds	Interlaken-Montreux (5-6)
17	1	5	16	189.425	R	shows	observe gesture
17	1	5	17	204.074	A	adds	Zermatt-Interlaken (4-5)
17	1	6	18	214.900	B	presses	submit (enabled)
17	1	6	19	217.467	A	presses	submit (enabled)
17	1	6	20	217.574	T	submits	cost=31 (opt_cost=22)
17	1	6	21	217.785	R	shows	talking emotion
17	1	6	22	217.785	R	shows	up_left gesture
17	1	6	23	217.865	R	says	you are away from the minimum by 9 francs. let's try again.
17	1	6	24	224.170	R	shows	talking emotion
17	1	6	25	224.171	R	shows	point_front gesture
17	1	6	26	224.268	R	says	by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
17	2	6	27	238.198	A	presses	compare (enabled)
17	2	6	28	251.535	B	adds	Zermatt-Davos (4-9)
17	2	6	29	260.783	B	adds	Gallen-Davos (8-9)
17	2	7	30	269.403	A	adds	Zurich-Gallen (2-8)
17	2	7	31	278.968	A	adds	Luzern-Zurich (1-2)
17	2	8	32	279.197	R	shows	observe gesture
17	2	8	33	286.852	B	adds	Luzern-Bern (1-3)
17	2	8	34	292.300	B	adds	Basel-Bern (0-3)
17	2	9	35	298.260	A	adds	Basel-Neuchatel (0-7)
17	2	9	36	303.606	A	removes	Basel-Neuchatel (0-7)
17	2	10	37	323.899	B	adds	Basel-Neuchatel (0-7)
17	2	10	38	326.706	B	adds	Interlaken-Neuchatel (5-7)
17	2	11	39	332.663	A	adds	Interlaken-Montreux (5-6)
