team_no	attempt_no	turn_no	event_no	time	subject	verb	object
6	1	1	1	0.122	R	shows	observe gesture
6	1	1	2	0.242	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!
6	1	1	3	53.874	R	shows	thinking gesture
6	1	1	4	53.877	R	says	hmm, i see.
6	1	1	5	70.243	B	presses	help (enabled)
6	1	1	6	98.893	R	shows	observe gesture
6	1	1	7	108.543	B	presses	submit (disabled)
6	1	1	8	151.671	A	adds	Zurich-Davos (2-9)
6	1	1	9	158.859	R	shows	thinking gesture
6	1	1	10	158.888	R	says	hmm, i see.
6	1	1	11	190.639	A	removes	Zurich-Davos (2-9)
6	1	2	12	195.510	B	adds	Zurich-Gallen (2-8)
6	1	2	13	195.591	A	presses	submit (disabled)
6	1	2	14	200.187	B	adds	Gallen-Davos (8-9)
6	1	3	15	239.970	A	adds	Basel-Zurich (0-2)
6	1	3	16	267.386	A	removes	Basel-Zurich (0-2)
6	1	4	17	278.854	R	shows	observe gesture
6	1	4	18	279.947	A	presses	submit (disabled)
6	1	4	19	280.577	B	adds	Zermatt-Davos (4-9)
6	1	4	20	280.930	A	presses	submit (disabled)
6	1	4	21	281.112	A	presses	submit (disabled)
6	1	4	22	282.686	A	presses	submit (disabled)
6	1	4	23	282.897	A	presses	submit (disabled)
6	1	4	24	283.621	A	presses	submit (disabled)
6	1	4	25	284.673	A	presses	submit (disabled)
6	1	4	26	307.705	B	removes	Zermatt-Davos (4-9)
6	1	5	27	323.304	A	adds	Luzern-Davos (1-9)
6	1	5	28	332.091	A	adds	Luzern-Zermatt (1-4)
6	1	6	29	336.494	B	removes	Luzern-Zermatt (1-4)
6	1	6	30	339.665	B	removes	Luzern-Davos (1-9)
6	1	7	31	357.037	A	adds	Zermatt-Davos (4-9)
6	1	7	32	407.970	A	adds	Zermatt-Montreux (4-6)
6	1	8	33	427.477	B	adds	Basel-Zurich (0-2)
6	1	8	34	430.374	B	removes	Basel-Zurich (0-2)
6	1	9	35	451.606	A	adds	Montreux-Neuchatel (6-7)
6	1	9	36	462.529	A	adds	Interlaken-Neuchatel (5-7)
6	1	10	37	473.944	B	adds	Luzern-Interlaken (1-5)
6	1	10	38	479.774	B	removes	Luzern-Interlaken (1-5)
6	1	11	39	537.996	A	adds	Interlaken-Bern (5-3)
6	1	11	40	543.156	A	removes	Interlaken-Bern (5-3)
6	1	12	41	552.145	B	adds	Luzern-Zurich (1-2)
6	1	12	42	562.070	B	adds	Luzern-Bern (1-3)
6	1	13	43	570.292	A	adds	Basel-Bern (0-3)
6	1	13	44	570.506	R	shows	observe gesture
6	1	13	45	578.988	R	shows	thinking gesture
6	1	13	46	578.992	R	says	hmm, i see.
6	1	13	47	582.661	B	presses	submit (enabled)
6	1	13	48	587.429	A	adds	Basel-Neuchatel (0-7)
6	1	14	49	609.828	B	removes	Basel-Neuchatel (0-7)
