team_no	attempt_no	turn_no	event_no	time	subject	verb	object
42	1	1	1	0.289	R	shows	observe gesture
42	1	1	2	0.398	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!
42	1	1	3	37.759	A	presses	help (enabled)
42	1	1	4	43.007	B	presses	help (enabled)
42	1	1	5	53.805	R	shows	thinking gesture
42	1	1	6	53.812	R	says	hmm, i see.
42	1	1	7	72.428	A	adds	Montreux-Neuchatel (6-7)
42	1	1	8	83.362	A	presses	help (enabled)
42	1	1	9	87.550	A	presses	help (enabled)
42	1	1	10	94.976	A	adds	Basel-Neuchatel (0-7)
42	1	2	11	98.804	R	shows	observe gesture
42	1	2	12	100.284	A	presses	help (enabled)
42	1	2	13	102.318	A	presses	help (enabled)
42	1	2	14	103.613	A	presses	help (enabled)
42	1	2	15	104.885	A	presses	help (enabled)
42	1	2	16	109.205	B	presses	help (enabled)
42	1	2	17	111.041	B	presses	help (enabled)
42	1	2	18	122.006	B	adds	Interlaken-Montreux (5-6)
42	1	2	19	156.672	B	presses	help (enabled)
42	1	2	20	158.950	R	shows	thinking gesture
42	1	2	21	158.953	R	says	hmm, i see.
42	1	2	22	169.152	B	removes	Basel-Neuchatel (0-7)
42	1	3	23	181.904	A	adds	Zermatt-Interlaken (4-5)
42	1	3	24	184.774	A	removes	Zermatt-Interlaken (4-5)
42	1	4	25	190.794	A	presses	help (enabled)
42	1	4	26	195.775	B	removes	Montreux-Neuchatel (6-7)
42	1	4	27	232.165	B	adds	Interlaken-Bern (5-3)
42	1	5	28	245.354	A	adds	Basel-Bern (0-3)
42	1	5	29	256.054	A	adds	Luzern-Bern (1-3)
42	1	6	30	264.107	B	adds	Luzern-Zermatt (1-4)
42	1	6	31	275.280	B	adds	Zurich-Bern (2-3)
42	1	7	32	302.573	A	adds	Luzern-Davos (1-9)
42	1	7	33	317.064	A	adds	Zurich-Gallen (2-8)
42	1	8	34	327.872	B	adds	Interlaken-Neuchatel (5-7)
42	1	8	35	328.031	R	shows	observe gesture
42	1	8	36	411.443	B	removes	Interlaken-Neuchatel (5-7)
42	1	9	37	466.289	A	adds	Interlaken-Neuchatel (5-7)
42	1	9	38	468.219	A	presses	submit (enabled)
42	1	9	39	473.132	T	submits	cost=29 (opt_cost=22)
42	1	9	40	474.567	B	presses	submit (enabled)
42	1	9	41	474.826	R	shows	talking emotion
42	1	9	42	474.826	R	shows	up_left gesture
42	1	9	43	474.903	R	says	you are not that far from the minimum; the difference is only 7 francs. i am sure you can do it.
42	1	9	44	483.820	R	shows	point_front gesture
42	1	9	45	483.820	R	shows	talking emotion
42	1	9	46	483.910	R	says	by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
42	2	9	47	497.270	B	presses	compare (enabled)
42	2	9	48	499.672	A	presses	help (enabled)
42	2	9	49	504.021	A	presses	help (enabled)
42	2	9	50	504.730	A	presses	help (enabled)
42	2	9	51	523.048	A	adds	Interlaken-Neuchatel (5-7)
42	2	9	52	550.996	A	adds	Interlaken-Bern (5-3)
42	2	10	53	553.406	A	presses	compare (enabled)
42	2	10	54	578.789	R	shows	thinking gesture
42	2	10	55	578.800	R	says	hmm, i see.
42	2	10	56	590.833	B	adds	Zurich-Bern (2-3)
42	2	10	57	597.123	B	adds	Luzern-Bern (1-3)
42	2	11	58	644.472	A	adds	Luzern-Davos (1-9)
42	2	11	59	686.073	A	adds	Luzern-Zermatt (1-4)
42	2	12	60	698.915	B	adds	Zermatt-Interlaken (4-5)
42	2	12	61	720.109	B	adds	Basel-Bern (0-3)
42	2	13	62	745.654	A	adds	Zurich-Gallen (2-8)
42	2	13	63	757.533	A	removes	Zurich-Gallen (2-8)
42	2	14	64	775.168	B	adds	Interlaken-Montreux (5-6)
42	2	14	65	799.427	B	removes	Interlaken-Montreux (5-6)
42	2	15	66	804.249	A	adds	Montreux-Neuchatel (6-7)
42	2	15	67	848.799	A	adds	Zurich-Gallen (2-8)
42	2	16	68	857.919	A	presses	compare (enabled)
42	2	16	69	858.892	A	presses	compare (enabled)
42	2	16	70	876.648	A	presses	submit (enabled)
42	2	16	71	878.599	T	submits	cost=29 (opt_cost=22)
42	2	16	72	879.996	B	presses	submit (enabled)
42	2	16	73	880.291	R	shows	talking emotion
42	2	16	74	880.294	R	shows	up_left gesture
42	2	16	75	880.366	R	says	you are away from the minimum by 7 francs. let's try again.
42	3	16	76	892.007	A	presses	compare (enabled)
42	3	16	77	912.795	B	adds	Montreux-Neuchatel (6-7)
42	3	16	78	919.256	B	adds	Interlaken-Neuchatel (5-7)
42	3	17	79	936.111	A	adds	Zermatt-Interlaken (4-5)
42	3	17	80	971.115	B	presses	previous (enabled)
42	3	17	81	973.011	B	presses	compare (enabled)
42	3	17	82	973.021	B	presses	next (enabled)
42	3	17	83	973.343	A	adds	Luzern-Zermatt (1-4)
42	3	18	84	1030.766	A	presses	previous (enabled)
42	3	18	85	1044.677	B	adds	Luzern-Bern (1-3)
42	3	18	86	1050.019	B	adds	Zurich-Bern (2-3)
42	3	19	87	1060.714	A	adds	Zurich-Gallen (2-8)
42	3	19	88	1067.960	B	presses	previous (enabled)
42	3	19	89	1075.810	B	presses	next (enabled)
42	3	19	90	1081.710	A	adds	Gallen-Davos (8-9)
42	3	20	91	1085.882	A	presses	compare (enabled)
42	3	20	92	1085.896	A	presses	next (enabled)
42	3	20	93	1086.645	A	presses	compare (enabled)
42	3	20	94	1096.363	B	adds	Basel-Bern (0-3)
42	3	20	95	1099.309	B	presses	submit (enabled)
42	3	20	96	1102.647	A	presses	submit (enabled)
42	3	20	97	1102.696	T	submits	cost=24 (opt_cost=22)
42	3	20	98	1104.473	R	shows	talking emotion
42	3	20	99	1104.474	R	shows	up_left gesture
42	3	20	100	1104.559	R	says	you are not that far from the minimum; the difference is only 2 francs. i am sure you can do it.
42	4	20	101	1123.607	A	presses	compare (enabled)
42	4	20	102	1135.859	A	presses	previous (enabled)
42	4	20	103	1136.131	A	presses	previous (enabled)
42	4	20	104	1171.193	B	adds	Zermatt-Interlaken (4-5)
42	4	20	105	1184.085	B	adds	Interlaken-Neuchatel (5-7)
42	4	21	106	1197.621	A	adds	Montreux-Neuchatel (6-7)
42	4	21	107	1207.327	B	presses	previous (enabled)
42	4	21	108	1208.208	B	presses	previous (enabled)
42	4	21	109	1209.874	B	presses	compare (enabled)
42	4	21	110	1209.882	B	presses	next (enabled)
42	4	21	111	1210.241	B	presses	compare (enabled)
42	4	21	112	1210.255	B	presses	next (enabled)
42	4	21	113	1210.896	B	presses	compare (enabled)
42	4	21	114	1214.391	B	presses	previous (enabled)
42	4	21	115	1216.008	B	presses	previous (enabled)
42	4	21	116	1216.941	B	presses	compare (enabled)
42	4	21	117	1216.948	B	presses	next (enabled)
42	4	21	118	1217.525	B	presses	compare (enabled)
42	4	21	119	1217.539	B	presses	next (enabled)
42	4	21	120	1218.474	B	presses	previous (enabled)
42	4	21	121	1219.525	B	presses	compare (enabled)
42	4	21	122	1219.539	B	presses	next (enabled)
42	4	21	123	1227.340	A	adds	Luzern-Zermatt (1-4)
42	4	22	124	1235.875	B	adds	Luzern-Bern (1-3)
42	4	22	125	1238.821	R	shows	observe gesture
42	4	22	126	1238.833	R	says	so guys,..you have 5 more minutes to find the best solution. you can do it!
42	4	22	127	1250.776	A	presses	compare (enabled)
42	4	22	128	1250.814	A	presses	next (enabled)
42	4	22	129	1255.135	A	presses	compare (enabled)
42	4	22	130	1255.149	A	presses	next (enabled)
42	4	22	131	1264.619	B	adds	Basel-Bern (0-3)
42	4	23	132	1278.081	A	adds	Basel-Zurich (0-2)
42	4	23	133	1279.621	A	adds	Zurich-Gallen (2-8)
42	4	24	134	1286.963	B	adds	Gallen-Davos (8-9)
42	4	24	135	1287.386	A	presses	submit (enabled)
42	4	24	136	1287.479	T	submits	cost=26 (opt_cost=22)
42	4	24	137	1287.797	B	presses	submit (enabled)
42	4	24	138	1290.140	R	shows	talking emotion
42	4	24	139	1290.142	R	shows	up_left gesture
42	4	24	140	1290.231	R	says	you are not that far from the minimum; the difference is only 4 francs. i am sure you can do it.
